,Name,Team,Birthdate,Nation,Height,Weight,Foot,Position
74,Felipe Monteiro,Atlético Madrid,16.05.1989,Brazil,190 cm,84 kg,right,Centre Back
76,Fran González,Atlético Madrid,13.08.1998,Spain,190 cm,,right,Centre Back
78,José Giménez,Atlético Madrid,20.01.1995,Uruguay,185 cm,80 kg,right,Centre BackRight Back
80,Ibrahima Cámara,Atlético Madrid,18.01.2003,Spain,180 cm,75 kg,,Centre Back
82,Marco Moreno,Atlético Madrid,20.02.2001,Spain,191 cm,,right,Centre Back
84,Mario Hermoso,Atlético Madrid,18.06.1995,Spain,184 cm,76 kg,left,Centre BackLeft Back
86,Nahuel Molina,Atlético Madrid,06.04.1998,Argentina,175 cm,72 kg,right,Right BackLeft Back
88,Reguilón,Atlético Madrid,16.12.1996,Spain,178 cm,68 kg,left,Left BackLeft Midfielder
90,Reinildo,Atlético Madrid,21.01.1994,Mozambique,180 cm,73 kg,left,Left BackLeft Midfielder
92,Stefan Savić,Atlético Madrid,08.01.1991,Montenegro,187 cm,80 kg,right,Centre Back
94,Sergio Diez,Atlético Madrid,28.07.2003,Spain,180 cm,75 kg,right,Right BackRight Winger
96,Axel Witsel,Atlético Madrid,12.01.1989,Belgium,186 cm,81 kg,right,Centre BackDefensive Midfielder
98,Alberto Moreno,Atlético Madrid,19.04.2002,Spain,,,,Central Midfielder
100,Yannick Carrasco,Atlético Madrid,04.09.1993,Belgium,181 cm,73 kg,right,Left MidfielderLeft Winger
102,Rodrigo de Paul,Atlético Madrid,24.05.1994,Argentina,180 cm,70 kg,right,Central MidfielderOffensive Midfielder
104,Koke,Atlético Madrid,08.01.1992,Spain,176 cm,75 kg,right,Central MidfielderDefensive Midfielder
106,Geoffrey Kondogbia,Atlético Madrid,15.02.1993,Central Afr. Republic,188 cm,76 kg,left,Defensive MidfielderCentral Midfielder
108,Thomas Lemar,Atlético Madrid,12.11.1995,France,171 cm,66 kg,left,Offensive MidfielderLeft Midfielder
110,Marcos Llorente,Atlético Madrid,30.01.1995,Spain,184 cm,74 kg,right,Central MidfielderRight Winger
112,Saúl,Atlético Madrid,21.11.1994,Spain,184 cm,77 kg,left,Central MidfielderLeft Winger
114,Ángel Correa,Atlético Madrid,09.03.1995,Argentina,171 cm,70 kg,right,Offensive MidfielderCentre Forward
116,Antoine Griezmann,Atlético Madrid,21.03.1991,France,176 cm,73 kg,left,Offensive MidfielderCentre Forward
118,João Félix,Atlético Madrid,10.11.1999,Portugal,181 cm,72 kg,both,Offensive MidfielderLeft Midfielder
120,Matheus Cunha,Atlético Madrid,27.05.1999,Brazil,184 cm,75 kg,right,Centre ForwardLeft Midfielder
122,Álvaro Morata,Atlético Madrid,23.10.1992,Spain,187 cm,82 kg,right,Centre ForwardLeft Midfielder
124,Diego Simeone,Atlético Madrid,28.04.1970,Argentina,177 cm,77 kg,right,Defensive Midfielder
126,Nelson Vivas,Atlético Madrid,18.10.1969,Argentina,173 cm,75 kg,,Right Back
128,Pablo Vercellone,Atlético Madrid,24.04.1968,Argentina,,,,Goalkeeper
130,Óscar Ortega,Atlético Madrid,29.03.1958,Uruguay,,,,
132,Óscar Pitillas,Atlético Madrid,16.10.1971,Spain,,,,
